Project Name,Phase,Planned Duration,Actual Duration,Project Budget,Estimate of Actual Costs-End of Phase,Total Phase Actual Spending
10X254I.S. 254 - BRONXSCA CIP RESOAFY16 RESO A IP SURVEILLANCE CAMERA INSTALLATION,Scope,123,7,0,1792,1792
10X254I.S. 254 - BRONXDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,245,122,50000,49625,49625
10X254I.S. 254 - BRONXDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,245,122,76250,75677,75677
10X279P.S. 279 - BRONXSCA CIPWATER PENETRATION/ROOFS,Scope,139,195,36881,57074,56288
10X279P.S. 279 - BRONXSCA CIPWATER PENETRATION/ROOFS,Design,154,217,141246,183396,180358
10X340P.S. 340 - BRONXDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,259,87,50000,49621,49621
10X368M.S./H.S. 368 - BRONXSCA CIPPAVED AREAS CONCRETE,Scope,136,120,8017,23855,23855
10X368M.S./H.S. 368 - BRONXSCA CIPPAVED AREAS CONCRETE,Design,156,195,29395,80349,64886
10X430M.S./H.S. 342 - BRONXSCA CIPBOILER FOR SWIMMING,Scope,136,52,43040,41498,41498
10X430M.S./H.S. 342 - BRONXSCA CIPBOILER FOR SWIMMING,Design,154,201,150640,204664,204664
10X430M.S./H.S. 342 - BRONXSCA CIPIP SURVEILLANCE CAMERAS,Scope,121,202,6840,22583,22583
10X430M.S./H.S. 342 - BRONXSCA CIPIP SURVEILLANCE CAMERAS,Design,181,93,25080,59165,59165
10X435I.S. 243 - BRONXSCA CIPROOFS/PARAPETS/EXT MASONRY/WINDOWS,Scope,0,0,758294,219702,219702
10X435I.S. 243 - BRONXSCA CIPROOFS/PARAPETS/EXT MASONRY/WINDOWS,Design,154,170,3033180,861780,848735
10X435FORDHAM HS FOR THE ARTS - BRONSCA CIPIP SURVEILLANCE CAMERAS,Scope,126,131,9144,17497,17497
10X435FORDHAM HS FOR THE ARTS - BRONSCA CIPIP SURVEILLANCE CAMERAS,Design,181,85,33528,44436,44436
10X435FORDHAM HS FOR THE ARTS - BRONSCA CIP RESOAFY16 RESO A LIBRARY UPGRADE,Scope,123,97,0,26643,26643
10X435FORDHAM HS FOR THE ARTS - BRONSCA CIP RESOAFY16 RESO A LIBRARY UPGRADE,Design,138,135,156000,106569,106569
10X440DEWITT CLINTON HS - XSCA CIPEXTERIOR MASONRY/FLOOD ELIMINATION/PARAPETS/ROOF,Scope,142,342,407835,317409,295273
10X440DEWITT CLINTON HS - XSCA CIPEXTERIOR MASONRY/FLOOD ELIMINATION/PARAPETS/ROOF,Design,154,447,1631340,1136024,978157
10X440DEWITT CLINTON HS - XSCA CIPGYM UPGRADE,Scope,119,101,60456,61373,61373
10X440DEWITT CLINTON HS - XSCA CIPGYM UPGRADE,Design,182,179,241822,269123,259555
10X440DEWITT CLINTON HS - XSCA CIPIP DIGITAL VIDEO SURVEILLANCE SYSTEM,Scope,122,37,12874,1572,1572
10X440DEWITT CLINTON HS - XSCA CIP RESOAFY15 RESO A CAFETERIA UPGRADE,Scope,121,66,0,34470,34470
10X444PRE-K CENTER @ 2510 MARION AVEPRE-KLEASE,Scope,7,7,229175,168448,168448
10X444PRE-K CENTER @ 2510 MARION AVEPRE-KLEASE,Design,131,230,733360,783855,623316
10X444PRE-K CENTER @ 2510 MARION AVEPRE-KLEASE,Construction,539,536,10285374,10060052,9878486
10X444PRE-K CENTER @ 2510 MARION AVEPRE-KLEASE,"CM, F&E",539,536,1811017,1406947,1339927
10X445BRONX HS OF SCIENCE - XSCA CIPROOF REPLACEMENT/PARAPETS,Scope,137,91,134776,41223,41221
10X445BRONX HS OF SCIENCE - XSCA CIPROOF REPLACEMENT/PARAPETS,Design,155,96,539100,120430,116692
10X445BRONX HS OF SCIENCE - XSCA CIPGYM CEILING,Scope,123,67,20818,24058,24058
10X445BRONX HS OF SCIENCE - XSCA CIPGYM CEILING,Design,139,141,83273,102866,96356
10X448P.S. 340 ANNEX - BRONXSCA CIPEARLY PKG.- DETENTION TANK,Scope,0,0,30000,0,0
10X475JOHN F. KENNEDY HS - BRONXSCA CIPSCIENCE LAB UPGRADE,Scope,138,140,110940,103978,103978
10X475JOHN F. KENNEDY HS - BRONXSCA CIPSCIENCE LAB UPGRADE,Design,183,226,388290,329925,316570
10X475JOHN F. KENNEDY HS - BRONXSCA CIPSCIENCE LAB UPGRADE,Construction,659,1029,6295845,6201593,5989027
10X475JOHN F. KENNEDY HS - BRONXSCA CIPSCIENCE LAB UPGRADE,"CM, F&E",659,1029,551018,595580,594538
10X475JOHN F. KENNEDY HS - BRONXSCA CIPEXT MASONRY/FLOOD/PARAPETS/ROOFS,Scope,141,342,166366,225758,206813
10X475JOHN F. KENNEDY HS - BRONXSCA CIPEXT MASONRY/FLOOD/PARAPETS/ROOFS,Design,159,272,659453,627318,350802
2M660SCHOOL OF THE FUTURE - MANHATTDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,259,66,70000,69473,69473
2M661OLD MABLE DEAN BACON VOC HS AXSCA CIPWORK REQUIRED TO OBTAIN C OF O,Scope,48,56,15000,34136,33979
2M661OLD MABLE DEAN BACON VOC HS AXSCA CIPWORK REQUIRED TO OBTAIN C OF O,Design,44,0,55000,171391,146190
2M807HARVEY MILK SCHOOL - MANHATTANSCA CIP RESOAFY15 RESO A SECURITY CAMERAS,Scope,122,26,0,3174,3174
2M807HARVEY MILK SCHOOL - MANHATTANSCA CIP RESOAFY15 RESO A SECURITY CAMERAS,Design,181,63,13360,12760,12760
2M834HS FOR ENVIRONMENTAL STUDIESSCA CIP6TH FLOOR EGRESS/FIRE ALARM,Scope,150,146,54315,76056,76056
2M834HS FOR ENVIRONMENTAL STUDIESSCA CIP6TH FLOOR EGRESS/FIRE ALARM,Design,182,266,217260,369930,298058
3M054I.S. 54 - MANHATTANSCA CIPMASONRY & GRANITE STEP DEFECTS,Scope,139,118,26490,48680,39668
3M054I.S. 54 - MANHATTANSCA CIPMASONRY & GRANITE STEP DEFECTS,Design,154,223,97130,92328,67276
3M075P.S. 75 - MANHATTANSCA CIPPLAYNYC BOILER CONVERSION/CLIMATE CONTROL,Scope,154,218,110989,75354,75354
3M075P.S. 75 - MANHATTANSCA CIPPLAYNYC BOILER CONVERSION/CLIMATE CONTROL,Design,150,157,436623,467318,445008
3M075P.S. 75 - MANHATTANDCAS/NYPAHIGH EFFICIENCY LIGHTING SYSTEM,Construction,785,785,96329,96329,96329
3M076P.S. 76 - MANHATTANSCA CIP RESOAFY17 RESO A AUDITORIUM  UPGRADE,Scope,120,33,0,12434,12434
3M076P.S. 76 - MANHATTANSCA CIP RESOAFY17 RESO A AUDITORIUM  UPGRADE,Design,150,38,18169,8337,2472
3M076P.S. 76 - MANHATTANSCA CIP RESOAFY17 RESO A AUDITORIUM  UPGRADE,Construction,209,140,266472,256463,181106
3M076P.S. 76 - MANHATTANSCA CIP RESOAFY17 RESO A AUDITORIUM  UPGRADE,"CM, F&E",209,140,18169,28375,10797
3M081LYFESCA CIPCTF-ROOM CONVERSION,Scope,92,275,39525,43607,43607
3M081LYFESCA CIPCTF-ROOM CONVERSION,Design,153,385,158100,153974,118692
3M084P.S. 84 - MANHATTANSCA CIP RESOARESO A GREENROOF,Scope,138,86,0,97351,79730
3M084P.S. 84 - MANHATTANSCA CIP RESOARESO A GREENROOF,Design,153,193,150375,121558,89874
3M088J.H.S. 860 - MANHATTANSCA CIPSCIENCE LAB UPGRADE,Scope,108,129,19125,33195,33195
3M088J.H.S. 860 - MANHATTANSCA CIPSCIENCE LAB UPGRADE,Design,153,342,76500,127083,69045
3M088WADLEIGH SCNDRY SCHL FOR PERMGSCA CIPENY AUDITORIUM UPGRADE,Scope,123,62,6832,125,125
3M088WADLEIGH SCNDRY SCHL FOR PERMGSCA CIPENY AUDITORIUM UPGRADE,Design,154,210,25050,500,500
3M088WADLEIGH SECONDARY SCHOOL FORSCA CIPIP DIGITAL VIDEO SURVEILLANCE SYSTEM,Scope,123,35,7774,2580,2580
10X475JOHN F. KENNEDY HS - BRONXSCA CIPPARKING AREA LIGHTING/TCU REMOVAL AND PLAYGROUND,Scope,386,373,45091,38906,38906
10X475JOHN F. KENNEDY HS - BRONXSCA CIPPARKING AREA LIGHTING/TCU REMOVAL AND PLAYGROUND,Design,315,267,171681,177798,170021
10X819P.S. 207 - BRONXDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,131,100000,99250,99250
10X826P.S. 226 - BRONXDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,252,87,35000,34733,34733
10X843P.S. 246 - BRONXSCA CIPELEVATOR/EXT MSNRY/FLOOD/ PARAPETS/ROOFS/WALL,Scope,442,555,176871,231443,225438
10X843P.S. 246 - BRONXSCA CIPELEVATOR/EXT MSNRY/FLOOD/ PARAPETS/ROOFS/WALL,Design,152,259,704052,672338,553042
11X012X012 SPED - BRONXSCA CIPSTRUCTURAL CRACKS/WINDOWS/PARAPETS,Scope,135,350,85074,138743,130662
11X012X012 SPED - BRONXSCA CIPSTRUCTURAL CRACKS/WINDOWS/PARAPETS,Design,150,238,330363,221740,216475
11X019P.S. 19 - BRONXSCA CapacityADDITION,Scope,116,120,1271925,1022443,1011766
11X019P.S. 19 - BRONXSCA CapacityADDITION,Design,187,232,4070160,4071495,1758457
11X019P.S. 19 - BRONXDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,120,50000,49623,49623
11X021P.S. 21 - BRONXDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,123,69000,68482,68482
11X041P.S. 41 - BRONXSCA CIPPLANYC BOILER CONVERSION/CLIMATE CONTROL,Scope,154,203,82260,77462,77462
11X041P.S. 41 - BRONXSCA CIPPLANYC BOILER CONVERSION/CLIMATE CONTROL,Design,153,1099,329040,426832,333167
11X068P.S. 68 - BRONXSCA CIPWATER INFILTRATION/EXT MASONRY/PAVED AREA-BLACKTOP,Scope,241,165,46427,70123,69834
11X068P.S. 68 - BRONXSCA CIPWATER INFILTRATION/EXT MASONRY/PAVED AREA-BLACKTOP,Design,154,204,177024,234719,231639
11X083P.S. 83 - BRONXDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,127,100000,99249,99249
11X087P.S. 87 - BRONXSCA CIPFLOOD ELIMINATION/EXT MASONRY/WINDOWS/PARAPETS,Scope,135,133,78670,20471,20470
11X097P.S. 97 - BRONXSCA CapacityADDITION,Scope,144,169,1679805,749880,744637
11X097P.S. 97 - BRONXSCA CapacityDETENTION TANK WORK,Scope,0,0,25000,256,256
11X097P.S. 97 ADDITION - BRONXSCA CIPDEMOLITION,Scope,0,0,10872,4576,4576
11X097P.S. 97 ADDITION - BRONXSCA CIPDEMOLITION,Design,152,196,39864,18367,18303
11X103P.S. 103 - BRONXSCA CIPPARAPETS,Scope,184,223,90085,72189,11289
11X105P.S. 105 - BRONXSCA CIPWATER INFILTRATION/PARAPETS,Scope,140,128,63420,88625,88625
11X105P.S. 105 - BRONXSCA CIPWATER INFILTRATION/PARAPETS,Design,150,183,253680,299804,241773
11X106P.S. 106 - BRONXDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,244,125,200000,198499,198499
